Teacher_ID,Teacher_Name,Subject,Block,Room_Number,Cabin_Number,Lecture_Start,Lecture_End,Free_Start,Free_End,Available_Days
T173,Deepa Reddy,Environmental Science,Block D,201,336,13:00,14:00,15:00,16:00,Mon-Fri
T174,Heena Roy,Chemistry,Block A,187,377,13:30,14:30,11:30,12:30,Mon-Sat
T175,Gaurav Mishra,Fine Arts,Block D,421,186,16:00,17:00,16:00,17:00,Mon-Fri
T176,Sahil Reddy,Linguistics,Block A,123,337,10:30,11:30,16:00,17:00,Mon-Fri
T177,Om Das,Sociology,Block B,192,287,11:30,12:30,11:30,12:30,Mon-Fri
T178,Leena Roy,Philosophy,Block B,308,305,09:30,10:30,13:00,14:00,Mon-Sat
T179,Arun Bansal,Mathematics,Block B,242,331,16:00,17:00,14:30,15:30,Mon-Sat
T180,Vikram Bose,Astronomy,Block C,261,305,15:30,16:30,12:30,13:30,Mon-Fri
T181,Farhan Patel,Psychology,Block D,247,225,15:30,16:30,08:00,09:00,Mon-Sat
T182,Nikita Reddy,Mathematics,Block C,180,266,11:00,12:00,13:00,14:00,Mon-Sat
T183,Rita Khan,Philosophy,Block A,190,343,16:30,17:30,13:30,14:30,Mon-Fri
T184,Sahil Chopra,Fine Arts,Block D,466,142,14:30,15:30,10:00,11:00,Mon-Fri
T185,Usha Jain,Economics,Block C,134,151,15:00,16:00,16:00,17:00,Mon-Sat
T186,Chirag Roy,Astronomy,Block C,394,208,12:30,13:30,14:30,15:30,Mon-Sat
T187,Wasim Patel,Law,Block A,481,317,16:00,17:00,08:30,09:30,Mon-Fri
T188,Usha Iyer,Chemistry,Block C,382,483,11:00,12:00,16:00,17:00,Mon-Sat
T189,Chirag Joshi,English,Block C,266,426,08:00,09:00,08:30,09:30,Mon-Sat
T190,Arun Reddy,Geography,Block B,151,100,15:30,16:30,14:00,15:00,Mon-Sat
T191,Bhavna Khan,Computer Science,Block B,178,399,11:00,12:00,10:00,11:00,Mon-Fri
T192,Heena Mehta,Business Studies,Block D,408,383,11:00,12:00,14:30,15:30,Mon-Sat
T193,Om Bansal,Statistics,Block D,489,398,15:30,16:30,10:00,11:00,Mon-Fri
T194,Rita Kapoor,Linguistics,Block C,165,213,09:00,10:00,15:00,16:00,Mon-Fri
T195,Vikram Jain,Environmental Science,Block A,200,181,08:30,09:30,12:00,13:00,Mon-Fri
T196,Usha Mehta,Sociology,Block D,176,425,12:00,13:00,12:00,13:00,Mon-Sat
T197,Chirag Kapoor,Statistics,Block D,115,257,08:30,09:30,12:00,13:00,Mon-Sat
T198,Bhavna Bansal,History,Block B,453,267,10:30,11:30,10:30,11:30,Mon-Sat
T199,Esha Jain,Fine Arts,Block B,348,334,13:00,14:00,15:30,16:30,Mon-Sat
T200,Juhi Nair,Sociology,Block B,369,420,08:30,09:30,12:30,13:30,Mon-Sat
